Last inventory,Operating system,RAM (MB),CPU (MHz)
2021-08-30 09:47:00,Microsoft Windows 7 Professional,4096,2936
2022-08-03 08:59:58,Microsoft Windows 7 Professional,2048,2933
2022-07-12 08:56:16,Microsoft Windows 7 Professional,8192,3200
2018-10-11 12:56:23,Microsoft Windows 7 Professional,2941,2936
2020-11-18 11:22:04,Microsoft Windows 7 Professional,3500,3400
2022-10-26 09:25:58,Microsoft Windows 7 Professional,4096,2936
2022-10-26 12:03:26,Microsoft Windows 7 Professional,4096,2936
2019-02-04 09:17:47,Microsoft Windows 7 Professional,2048,2133
2022-05-26 08:32:50,Microsoft Windows 7 Professional,2048,2133
2022-10-26 10:08:38,Microsoft Windows 7 Professional,5120,2800
2019-08-22 09:22:30,Microsoft Windows 7 Professional,8192,2201
2022-10-24 08:05:29,Microsoft Windows 7 Professional,1790,3000
2020-06-23 15:13:36,Microsoft Windows XP Professional,1024,1596
2022-10-27 08:26:08,Microsoft Windows 7 Professional,3500,3400
2022-10-27 15:03:54,Microsoft Windows 7 Professional,6562,2501
2022-08-31 11:25:54,Microsoft Windows 7 Professional,2048,2933
2022-10-26 09:08:46,Microsoft® Windows Vista™ Ultimate,1536,1795
2022-10-27 15:23:25,Microsoft Windows 7 Professional,2941,2936
2018-12-27 10:33:46,Microsoft Windows 7 Professional Edition,2782,3194
2020-10-26 08:47:10,Microsoft Windows 8.1 Pro,3550,3200
2020-11-11 11:48:59,Microsoft Windows 7 Professional,2048,2133
2022-10-25 17:28:39,Microsoft Windows 7 Professional,4096,3400
2022-10-27 08:41:48,Microsoft Windows 7 Professional,4096,3400
2022-10-27 09:42:21,Microsoft Windows 7 Professional,2941,2926
2022-07-29 08:19:59,Microsoft Windows 7 Professional,4096,3400
2020-10-20 09:42:38,Microsoft Windows 7 Professional,3500,3400
2022-10-27 07:57:41,Microsoft Windows 7 Professional,16384,3301
2021-08-20 12:20:32,Microsoft Windows 7 Professional,2048,2936
2018-10-19 11:49:51,Microsoft® Windows Vista™ Ultimate,2048,1795
2022-05-23 08:23:24,Microsoft Windows 7 Professional,2941,2936
2022-08-30 10:21:44,Microsoft Windows 7 Professional,4096,3400
2022-10-25 09:44:41,Microsoft Windows 7 Professional,4096,2936
2022-07-14 13:08:46,Microsoft Windows XP Professional,1024,2194
2020-08-12 07:28:39,Microsoft® Windows Vista™ Business,3072,2933
2022-10-25 15:09:09,Microsoft Windows 10 Pro,16384,3301
2020-03-18 16:26:22,Microsoft Windows 7 Professional,7072,2501
2021-04-07 16:05:35,Microsoft Windows 7 Professional,2048,2133
2022-06-29 08:52:38,Microsoft Windows 7 Professional,4096,2936
2022-10-27 08:56:50,Microsoft Windows 8 Pro,4096,3400
2021-12-08 11:45:39,Microsoft Windows 7 Professional,3500,3400
2022-10-27 09:29:29,Microsoft Windows 10 Pro,4096,3400
2018-10-26 12:20:19,Microsoft Windows 10 Pro,4096,3400
2022-10-27 13:17:58,Microsoft Windows 7 Professional,4096,2926
2020-09-24 16:12:58,Microsoft Windows 10 Pro,6223,2496
2021-08-23 04:12:53,Microsoft Windows 7 Professional,4096,3400
2020-08-11 12:00:56,Microsoft Windows 7 Professional,3500,3400
2022-10-26 14:31:15,Microsoft Windows 7 Professional,3317,2800
2022-10-27 08:18:53,Microsoft Windows 7 Professional,3550,3200
2022-10-27 14:05:01,Microsoft Windows 7 Professional,3500,3400
2022-10-26 09:00:09,Microsoft Windows 7 Professional,6560,2501
2022-10-13 09:27:07,Microsoft Windows 7 Professional,2782,3200
2022-08-05 08:07:53,Microsoft Windows 7 Professional,7072,2501
2021-02-05 12:03:41,Microsoft Windows 7 Professional,7307,3401
2021-05-20 14:10:53,Microsoft Windows 7 Professional,4096,2936
2022-05-17 11:37:21,Microsoft Windows 7 Professional,4096,2936
2021-05-03 08:12:33,Microsoft Windows 7 Professional,4096,3400
2022-10-27 08:03:35,Microsoft Windows 7 Professional,16384,3301
2019-02-27 11:06:18,Microsoft Windows 7 Professional Edition,4096,2926
2022-10-27 11:02:13,Microsoft Windows 7 Professional,3453,2936
2022-10-27 08:19:45,Microsoft Windows 7 Professional,4096,2936
2022-06-09 08:49:31,Microsoft Windows 7 Professional,2782,3200
2022-07-26 11:27:45,Microsoft Windows 8.1 Pro,4096,3200
2018-11-20 11:41:47,Microsoft Windows 7 Professional,2048,2133
2020-03-13 08:11:27,Microsoft Windows 7 Professional,3583,2926
2022-10-27 14:00:03,Microsoft Windows 10 Pro,8192,2496
2019-11-05 16:39:07,Microsoft Windows 7 Professional,8192,3000
2022-10-27 08:23:14,Microsoft Windows 10 Pro,8192,2496
2020-03-13 15:43:31,Microsoft Windows 7 Professional,4078,3800
2019-02-13 10:49:53,Microsoft Windows 7 Professional,2048,2133
2019-06-23 07:12:11,Microsoft Windows 7 Professional,3071,2936
2021-02-10 11:02:50,Microsoft Windows 7 Professional,3327,3000
2022-10-27 09:01:11,Microsoft Windows 7 Professional,3327,3000
2019-04-12 11:07:14,Microsoft Windows 7 Professional,8192,3201
2021-05-03 07:42:53,Microsoft Windows 7 Professional,1791,3100
2019-09-12 11:17:47,Microsoft Windows 7 Professional,3072,2936
2019-04-09 09:31:04,Microsoft® Windows Vista™ Business,2048,2933
2021-04-29 12:32:19,Microsoft® Windows Vista™ Business,2048,2800
2022-10-27 14:07:21,Microsoft Windows 10 Pro,8192,2496
2022-10-27 12:27:26,Microsoft Windows 7 Professional,8174,3800
2021-04-27 09:17:22,Microsoft® Windows Vista™ Business,2048,2933
2022-10-27 10:12:36,Microsoft Windows 7 Professional,4078,3800
2022-10-27 08:43:27,Microsoft Windows 7 Professional,4096,2936
2019-05-14 12:28:31,Microsoft Windows 10 Pro,1791,3000
2020-11-05 12:56:44,Microsoft Windows 7 Professional,1791,3100
2022-10-26 15:05:10,Microsoft Windows 7 Professional,2048,2133
2019-03-31 22:35:05,Microsoft® Windows Vista™ Business,2048,2933
2020-03-19 11:59:38,Microsoft Windows 7 Professional,2048,2133
2019-03-28 12:07:13,Microsoft® Windows Vista™ Business,1024,2933
2022-10-27 09:59:17,Microsoft Windows 7 Professional,3550,3200
2022-07-05 16:27:18,Microsoft Windows 7 Professional,2941,2936
2022-10-27 11:12:23,Microsoft Windows 8.1 Pro,3550,3200
2022-10-27 15:09:48,Microsoft Windows 7 Professional,2048,2400
2018-10-09 16:06:37,Microsoft Windows XP Professional,3567,3058
2019-11-27 09:17:45,Microsoft Windows 8.1 Pro,8192,3201
2021-03-22 08:51:53,Microsoft Windows 7 Professional,4096,2901
2022-10-27 14:32:11,Microsoft Windows 7 Professional,4096,2936
2022-10-27 09:33:33,Microsoft Windows 10 Pro,8192,3201
2022-04-13 14:32:24,Microsoft Windows 7 Professional,1660,2133
2021-03-01 14:01:41,Microsoft Windows 7 Professional,4096,2901
2021-11-18 09:32:43,Microsoft Windows 7 Professional,8192,3201
2022-10-21 09:28:41,Microsoft Windows 7 Professional,2048,2933
2022-10-24 08:40:28,Microsoft Windows 7 Professional,2048,2133
2022-10-27 07:46:18,Microsoft Windows 10 Pro,8192,2496
2022-10-27 11:23:52,Microsoft Windows 10 Pro,8192,2496
2022-10-27 14:45:39,Microsoft Windows 10 Pro,8192,2496
2022-10-03 10:32:05,Microsoft Windows 10 Pro,8192,2496
2022-10-27 11:48:41,Microsoft Windows 7 Professional,2048,3000
2022-10-27 14:34:46,Microsoft Windows 8.1 Pro,3550,3200
2022-10-26 08:46:13,Microsoft Windows 7 Professional,3550,3200
2022-10-27 13:56:30,Microsoft Windows 7 Ultimate,1502,3200
2019-02-14 10:49:46,Microsoft Windows 7 Professional,2048,2133
2021-01-26 09:14:26,Microsoft Windows 10 Pro,8192,2496
2018-11-26 11:19:37,Microsoft Windows 7 Professional,4096,2936
2018-12-03 17:17:09,Microsoft Windows 7 Professional,4096,2936
2020-03-12 06:54:11,Microsoft Windows 7 Professional,4096,2936
2021-02-05 19:00:45,Microsoft Windows 7 Professional,4096,2936
2022-06-24 08:42:42,Microsoft Windows 7 Professional,2941,2936
2022-10-27 07:39:05,Microsoft Windows 10 Pro,8192,2496
2021-02-18 11:28:49,Microsoft Windows 7 Professional,2048,1800
2019-03-06 07:07:17,Microsoft Windows 7 Professional,2048,2133
2021-08-25 10:12:32,Microsoft Windows 7 Professional,2048,2133
2019-06-12 08:01:33,Microsoft Windows 7 Professional,3486,3200
2022-09-13 15:22:56,Microsoft Windows 7 Professional,3550,3200
2022-10-05 11:46:40,Microsoft Windows 7 Professional,2048,3326
2020-03-19 10:49:20,Microsoft Windows 7 Professional,2048,2933
2022-10-21 16:24:35,Microsoft Windows 7 Professional,2048,2133
2018-10-30 19:35:44,Microsoft Windows XP Professional,1024,2393
2019-04-26 08:53:27,Microsoft Windows 7 Professional,1502,3200
2022-10-27 15:28:54,Microsoft Windows 7 Professional,2782,3200
2022-10-27 08:14:52,Microsoft Windows 10 Pro,5731,2496
2019-01-11 14:36:34,Microsoft Windows 7 Professional,3511,3333
2019-02-01 14:29:16,Microsoft Windows 7 Professional,3261,2926
2019-02-06 08:45:34,Microsoft Windows XP Professional,3261,2926
2019-02-06 17:41:17,Microsoft Windows XP Professional,2048,2926
2019-07-01 07:24:31,Microsoft Windows XP Professional,2048,2926
2022-10-17 09:39:51,Microsoft Windows 7 Professional,3072,2133
2022-06-03 08:27:24,Microsoft Windows 7 Professional,2048,2133
2022-10-25 16:06:47,Microsoft Windows 7 Professional,2048,2133
2022-10-27 08:18:28,Microsoft Windows 7 Professional,4096,2901
2022-10-25 10:17:14,Microsoft Windows 7 Professional,2048,2133
2022-10-27 07:58:23,Microsoft Windows 7 Professional,3453,2936
2021-07-30 16:38:25,Microsoft Windows 7 Professional,8192,3601
2022-10-27 14:41:46,Microsoft Windows 7 Professional,3072,2133
2019-09-09 14:05:01,Microsoft® Windows Vista™ Business,3317,2933
2022-06-01 10:45:44,Microsoft Windows 7 Professional,2048,2936
2020-06-15 16:55:54,Microsoft Windows 7 Professional,1791,3100
2022-10-25 11:15:50,Microsoft Windows 7 Professional,2048,2933
2022-01-13 13:14:00,Microsoft Windows 7 Professional,3198,3800
2022-10-26 13:59:06,Microsoft Windows 7 Professional,6144,3200
2022-09-01 08:29:21,Microsoft Windows 7 Professional,8192,3601
2022-08-31 10:40:48,Microsoft® Windows Vista™ Business,3316,2800
2022-10-21 14:40:17,Microsoft Windows 7 Professional,2048,2800
2019-10-27 18:58:57,Microsoft Windows 7 Professional,2048,2936
2022-10-21 10:12:50,Microsoft Windows 7 Professional,4096,2936
2022-05-21 01:34:25,Microsoft Windows 7 Professional,8192,3201
