Account info: TAG;Last inventory;Computer;User;Operating system;RAM (MB);CPU (MHz);
NA;2022-10-26 14:28:48;CT01-003574;maria.adriana;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:27:46;CT01-004363;marta.chaves;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:26:56;DESKTOP-B4B4O8U;anelise.ribeiro;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:26:12;CT01-003435;eduarda.freitas;Microsoft Windows 10 Pro;4096;3408;
NA;2022-10-26 14:26:09;CT01-004045;lusiane.silva;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 14:26:06;TANGO;yc.robertar;Microsoft Windows Server 2008 R2 Enterprise;20480;2400;
NA;2022-10-26 14:25:23;PAT-129942;laura.abreu;Microsoft Windows 7 Professional;4096;3193;
NA;2022-10-26 14:25:17;CT01-004672;jose.canabarro;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:24:58;CT01-004345;luciana.assis;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 14:24:48;CT01-000451;luiz.simioni;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 14:24:23;CT01-004090;promed.fausto;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:24:21;CT01-004586;tatiani.pacheco;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:24:14;CT01-004325;raquel.carniel;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:24:11;CT01-001145;simone.lucena;Microsoft Windows 7 Professional;3524;3001;
NA;2022-10-26 14:24:08;CT01-004044;claudinei.gomes;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:23:55;CT01-003965;marcelo.dorneles;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:23:48;CT01-001714;angela.oliveira;Microsoft Windows 7 Professional;3550;3200;
SMS;2022-10-26 14:23:43;CT01-000043;mauren.santos;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 14:23:13;CGM74153;matheus.trindade;Microsoft Windows 7 Professional;1790;3000;
NA;2022-10-26 14:22:39;CT01-004389;pedro.veber;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:22:34;CT01-000767;gisele.dentee;Microsoft Windows 10 Pro;8192;2496;
NA;2022-10-26 14:21:24;CT01-004049;cristiane.weite;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:21:00;CT01-000401;luciani.jardim;Microsoft Windows 7 Professional;3453;2936;
NA;2022-10-26 14:20:56;CT01-004518;justiz.annelis;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:20:48;CT01-001915;sandra.alves;Microsoft Windows 10 Pro;8192;3601;
NA;2022-10-26 14:20:41;CT01-003419;adriana.dossantos;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:20:04;CT01-004524;veronica.pires;Microsoft Windows 11 Pro for Workstations;16384;3408;
NA;2022-10-26 14:19:39;CT01-003933;laira.souza;Microsoft Windows 10 Pro;16384;3000;
NA;2022-10-26 14:19:33;CT01-004355;yc.lisianej;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:18:56;CT01-003351;thayany.nogueira;Microsoft Windows 10 Pro;8192;3408;
;2022-10-26 14:18:49;PMC019313;marino.dias;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 14:18:35;CT01-000266;juliana.ruivo;Microsoft Windows 7 Professional;4096;2901;
NA;2022-10-26 14:18:20;PAT-129452;fernando.costa;Microsoft Windows 10 Pro;8192;3600;
SMEL;2022-10-26 14:18:17;CT01-001130;amanda.magalhaes;Microsoft Windows 7 Professional;3524;3001;
NA;2022-10-26 14:18:13;CT01-004202;marcus.nunes;Microsoft Windows 11 Pro;16384;3192;
NA;2022-10-26 14:18:00;CT01-001099;gustavo.boneli;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 14:16:29;CT01-001781;;Microsoft Windows 10 Pro;16384;3601;
NA;2022-10-26 14:16:21;CT01-004176;maria.duran;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:16:10;DESKTOP-KU8CNMB;maria.espindola;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:15:40;CT01-001227;carla.zagur;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 14:15:40;CT01-004183;herinton.filgueiras;Microsoft Windows 10 Pro;8192;3700;
;2022-10-26 14:15:14;SME-DA010;erick.silva;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 14:15:00;CT01-001824;filipe.silva;Microsoft Windows 10 Pro;16384;3601;
NA;2022-10-26 14:14:19;CT01-003439;paula.sena;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:13:57;CTS1515;ramon.lopes;Microsoft Windows 7 Professional;16384;3401;
NA;2022-10-26 14:13:29;CT01-001045;luiza.silveira;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 14:13:09;CTS1511;elen.freitas;Microsoft Windows 7 Professional;4096;2700;
;2022-10-26 14:13:08;CT01-000002;naira.dias;Microsoft Windows 7 Professional;16384;3301;
NA;2022-10-26 14:12:28;CT01-004592;rodrigo.doliveira;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:12:14;CT01-003573;andressa.motta;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:12:06;CT01-004514;filipe.zubaran;Microsoft Windows 10 Pro for Workstations;16384;3408;
NA;2022-10-26 14:11:23;PAT-129415;helen.pannebecker;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:11:15;CT01-004037;diogo.machado;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:11:04;CT01-004419;cristiane.knunes;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:10:30;CT01-003998;eder.azevedo;Microsoft Windows 10 Pro;14739;3000;
;2022-10-26 14:10:06;SMF-2894;SISTEMA;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 14:09:50;CT01-000396;luzie.cunha;Microsoft Windows 7 Professional;16384;3301;
NA;2022-10-26 14:09:46;CT01-000456;SISTEMA;Microsoft Windows 7 Professional;2048;2400;
;2022-10-26 14:09:20;CT01-000138;SISTEMA;Microsoft Windows 7 Professional;1502;3200;
;2022-10-26 14:09:10;CT01-000497;SISTEMA;Microsoft Windows 7 Ultimate;1502;3200;
NA;2022-10-26 14:08:13;SME-26;carolina.matias;Microsoft Windows 7 Professional;2048;3000;
NA;2022-10-26 14:08:00;CT01-004676;kamila.azevedo;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:07:23;CT01-004470;luiza.alves;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:07:09;CT01-003755;Maria.Santos;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 14:07:08;CT01-004570;guilherme.mesquita;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 14:07:03;CT01-001439;eduarda.darocha;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 14:07:03;CT01-004323;kaua.guarnieri;Microsoft Windows 7 Professional;10240;3601;
NA;2022-10-26 14:06:48;CT01-000833;eduardo.carneiro;Microsoft Windows 10 Pro;2941;2936;
NA;2022-10-26 14:06:41;CT01-004720;catia.leonardi;Microsoft Windows 10 Pro;8192;2904;
NA;2022-10-26 14:06:23;CT01-003904;jeferson.fernandes;Microsoft Windows 8.1 Pro;8192;3001;
NA;2022-10-26 14:06:23;PMC-122522;julia.schneider;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 14:05:14;CT01-004526;jessica.pedroso;Microsoft Windows 11 Pro;8192;3600;
NA;2022-10-26 14:04:52;CT01-004064;thuany.martinez;Microsoft Windows 10 Pro;6547;3600;
NA;2022-10-26 14:04:28;CT01-004548;vitoria.vidal;Microsoft Windows 11 Pro;8192;3600;
;2022-10-26 14:04:16;PMC069223;NICOLAS.KICH;Microsoft Windows 7 Professional;4096;2901;
NA;2022-10-26 14:03:22;CT01-004333;barbara.jesus;Microsoft Windows 7 Professional;7062;2501;
NA;2022-10-26 14:03:20;CT01-004018;eder.godin;Microsoft Windows 10 Pro;16384;3000;
NA;2022-10-26 14:03:15;CT01-000771;cristiano.avancini;Microsoft Windows 7 Professional;3550;3200;
;2022-10-26 14:03:03;CT01-000859;ricardo.amaral;Microsoft Windows 7 Professional;4096;2901;
;2022-10-26 14:02:02;CT01-001459;maria.cardozo;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 14:00:46;CT01-003321;eduarda.costa;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 14:00:37;CT01-001106;kauane.rocha;Microsoft Windows 8.1 Pro;3550;3200;
NA;2022-10-26 14:00:30;CT01-004122;everaldo.santos;Microsoft Windows 10 Pro;8192;2712;
NA;2022-10-26 13:59:20;CT01-003271;carlos.lima;Microsoft Windows 7 Professional;4096;3300;
NA;2022-10-26 13:59:15;CT01-004682;adriane.ferronatto;Microsoft Windows 11 Pro;8192;2904;
NA;2022-10-26 13:59:06;CT01-000568;marcelo.ribeiro;Microsoft Windows 7 Professional;6144;3200;
NA;2022-10-26 13:59:03;CT01-002690;leonardo.brusch;Microsoft Windows 10 Pro;16384;3601;
NA;2022-10-26 13:58:49;CT01-004642;mauro.mattos;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:58:45;CT01-004489;yuselys.ramirez;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:58:34;CT01-003882;rochele.munhoz;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:57:28;CT01-004113;paula.loureto;Microsoft Windows 10 Pro;8192;2712;
NA;2022-10-26 13:57:18;CT01-002608;miria.camargo;Microsoft Windows 8.1 Pro;4096;3400;
NA;2022-10-26 13:57:06;CT01-004056;filipe.souza;Microsoft Windows 10 Pro;16384;3000;
NA;2022-10-26 13:56:05;CT01-004320;claudio.muller;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:56:03;CT01-003925;marta.silva;Microsoft Windows 11 Pro;16384;3000;
NA;2022-10-26 13:55:53;DESKTOP-2DTI9NJ;barbara.monteiro;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:55:50;CT01-004678;gislaine.silveira;Microsoft Windows 10 Pro;8192;3600;
SMS;2022-10-26 13:55:34;CT01-001247;justiz.valeria;Microsoft Windows 7 Professional;16384;3301;
NA;2022-10-26 13:55:18;CENTRAL-PC;idalino.centenario;Microsoft Windows 10 Enterprise;4096;2133;
;2022-10-26 13:54:32;PMC-104973;julia.reis;Microsoft Windows 7 Professional;6144;3200;
NA;2022-10-26 13:54:30;PMC105938;anelise.ribeiro;Microsoft Windows 10 Pro;8192;2496;
;2022-10-26 13:54:17;SMF-2854;fabiana.mrosa;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:53:45;CT01-004390;yc.robertar;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:53:04;CT01-0060;marcelo.schunck;Microsoft Windows 10 Pro;16384;3601;
NA;2022-10-26 13:53:02;CT01-004373;elizia.golombieski;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:52:27;CT01-003667;lasalle.karoline;Microsoft Windows 10 Pro;4096;2400;
SUB;2022-10-26 13:51:47;CT01-000600;SISTEMA;Microsoft Windows 7 Professional;2048;2933;
NA;2022-10-26 13:51:44;CT01-004241;leonardo.teixeira;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:51:21;PMC019982;simone.fernandes;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 13:50:45;CT01-004069;ione.correa;Microsoft Windows 10 Pro;4096;3600;
NA;2022-10-26 13:49:52;CT01-000096;viviane.britto;Microsoft Windows 7 Professional;3416;2893;
NA;2022-10-26 13:49:28;CT01-003475;fabio.marques;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:49:24;CT01-004081;renato.rodrigues;Microsoft Windows 10 Pro;4096;3600;
SMS;2022-10-26 13:49:12;CT01-000694;gabriela.brito;Microsoft Windows 10 Pro;8192;2496;
NA;2022-10-26 13:49:06;CT01-003609;alexsandro.fagundes;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:48:16;CT01-003902;rafael.moreira;Microsoft Windows 10 Pro;16384;3000;
NA;2022-10-26 13:47:43;CT01-003575;ulbra.consoni;Microsoft Windows 10 Pro;4096;3600;
NA;2022-10-26 13:46:31;CT01-003669;tauane.oliveira;Microsoft Windows 8 Professional Edition;3985;3408;
NA;2022-10-26 13:46:29;VBMSBDP01;;Microsoft Windows Server 2012 R2 Datacenter;24576;2400;
NA;2022-10-26 13:46:24;PGM015143;luciano.araujo;Microsoft Windows 7 Professional;4096;3200;
NA;2022-10-26 13:46:23;CT01-004423;vivian.soares;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:46:13;CT01-001081;SISTEMA;Microsoft Windows 7 Professional;3317;2800;
NA;2022-10-26 13:45:56;CT01-004652;marcos.ramos;Microsoft Windows 10 Pro;8192;2904;
NA;2022-10-26 13:44:49;PMC-000289;marco.oliveira;Microsoft Windows 10 Pro;8192;2496;
NA;2022-10-26 13:44:22;CT01-004319;jose.duarte;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:44:07;CT01-000744;jose.spolavori;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:43:54;CT01-001664;vilma.silva;Microsoft Windows 8.1 Pro;3550;3200;
NA;2022-10-26 13:43:48;CT01-000625;lucas.rocha;Microsoft Windows 7 Professional;2048;2133;
NA;2022-10-26 13:43:44;CT01-003411;robson.rohr;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:43:37;CT01-003859;aurea.goncalves;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:43:30;CT01-003906;lasalle.giovana;Microsoft Windows 10 Pro;16384;3000;
NA;2022-10-26 13:43:15;CT01-001040;alexandre.costa;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:42:32;CT01-004265;mateus.souza;Microsoft Windows 10 Pro;6077;3300;
NA;2022-10-26 13:42:22;CT01-004700;denise.farias;Microsoft Windows 11 Pro;8192;2904;
NA;2022-10-26 13:42:14;DESKTOP-SMHTTKB;marcus.pedreira;Microsoft Windows 10 Pro;16384;3000;
NA;2022-10-26 13:41:55;CT01-000235;SISTEMA;Microsoft Windows 7 Professional;2048;2133;
NA;2022-10-26 13:41:41;PMCSMPG301;deise.busato;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:41:05;CT01-004579;pedro.vazquez;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:41:01;CT01-001069;erisabete.marca;Microsoft Windows 7 Professional;4096;3400;
NA;2022-10-26 13:40:45;CT01-003505;eduardo.vicente;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:40:45;CT01-004644;bruna.ferreiram;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:40:20;SN-PE043WW6;carlos.sousa;Microsoft Windows 10 Pro;8192;3408;
;2022-10-26 13:40:15;CT01-000907;SISTEMA;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:39:33;CT01-004607;vinicius.souza;Microsoft Windows 10 Pro;8192;2904;
NA;2022-10-26 13:39:16;PAT-068515;ana.dmonte;Microsoft Windows 7 Professional;4096;2901;
NA;2022-10-26 13:38:54;CT01-004411;celia.schenkel;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:38:47;CT01-001718;larissa.niches;Microsoft Windows 8.1 Pro;3550;3200;
;2022-10-26 13:38:43;FMSC0243;rosane.siqueira;Microsoft Windows 8.1 Pro;4096;1801;
;2022-10-26 13:38:26;PMC019680;gabriela.bassani;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 13:38:26;SN-PE043WVZ;daniele.mota;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:37:52;CT01-004019;renan.duarte;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:37:15;CT01-003385;rafael.boone;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:36:34;CT01-003576;tatiana.dsantos;Microsoft Windows 10 Pro;8192;3408;
;2022-10-26 13:36:15;PMCX8GDRLG2;pedro.fanfa;Microsoft Windows 10 Pro;4096;3001;
NA;2022-10-26 13:36:14;CT02-000131;ana.tibola;Microsoft Windows 10 Pro;4096;2501;
;2022-10-26 13:35:48;CT01-000092;SISTEMA;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:35:40;CT01-003718;rosiane.duarte;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:35:32;CT01-004023;eliezer.silva;Microsoft Windows 10 Pro;14739;3000;
NA;2022-10-26 13:35:11;CT01-004605;danielle.carniel;Microsoft Windows 10 Pro for Workstations;16384;3408;
NA;2022-10-26 13:35:06;CT01-004519;lilian.mattos;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:34:38;CT01-000912;jessica.gharib;Microsoft Windows 8 Professional Edition;3550;3194;
NA;2022-10-26 13:34:21;CT01-003541;daiana.ely;Microsoft Windows 10 Pro;8192;3408;
;2022-10-26 13:33:43;PCSMPECI-PC;ricardo.pinto;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 13:33:23;CT01-004395;fernanda.rutkovski;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:33:06;SML30;liane.caletti;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:32:56;CT01-004446;yc.cinara;Microsoft Windows 11 Pro;8192;3600;
NA;2022-10-26 13:32:41;CONSULTORIO2;monica.amaral;Microsoft Windows 10 Pro;10647;3600;
NA;2022-10-26 13:32:00;CTSME7022;vanilda.brusarosco;Microsoft Windows 10 Pro;8192;2904;
;2022-10-26 13:31:51;PMC104976;monica.silveira;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 13:31:27;PAT-126862;barbara.jesus;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:31:21;CT01-000641;cintia.marins;Microsoft® Windows Vista™ Business;1024;2394;
NA;2022-10-26 13:31:02;CT01-004603;rogerio.behn;Microsoft Windows 10 Pro;8192;3504;
;2022-10-26 13:30:19;PMC68YS0M;flavia.schumacher;Microsoft Windows 7 Professional;7072;2501;
NA;2022-10-26 13:30:12;CT01-04015;laci.souza;Microsoft Windows 8.1 Pro;4096;3200;
;2022-10-26 13:30:01;CT01-000433;jacson.portolon;Microsoft Windows 7 Professional;8174;3800;
NA;2022-10-26 13:29:57;CT01-004522;gilson.azevedo;Microsoft Windows 10 Pro;16384;2904;
NA;2022-10-26 13:29:11;CT01-004245;sergio.prinstrop;Microsoft Windows 10 Pro;6077;3300;
NA;2022-10-26 13:28:50;CT01-000814;luciana.maciel;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 13:28:33;DESKTOP-M4BP8CQ;claudia.toneto;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:28:25;CT01-003615;luisa.rangel;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:28:07;CT01-004072;alexandro.schmitt;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:27:47;CT01-000993;tayuane.siebert;Microsoft Windows 7 Professional;3453;2936;
NA;2022-10-26 13:27:40;CT01-004620;mauricio.saturnino;Microsoft Windows 11 Pro;8192;2904;
;2022-10-26 13:26:47;PMC338943;gabriela.franca;Microsoft Windows 10 Pro;8192;2496;
NA;2022-10-26 13:26:45;CT01-004729;ana.rauch;Microsoft Windows 11 Pro;8192;2904;
;2022-10-26 13:26:42;PMC0104974;Luciana.vargas;Microsoft Windows 7 Professional;2782;3200;
NA;2022-10-26 13:26:39;CT01-004471;brenda.bohm;Microsoft Windows 10 Pro;8192;3600;
CANOASPREV;2022-10-26 13:26:30;CT01-002619;lucas.maia;Microsoft Windows 7 Professional;3012;3000;
NA;2022-10-26 13:25:52;CT01-004580;luisa.rangel;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:25:41;SML11;dioneia.enghusen;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:25:31;CT01-001017;carolina.deoliveira;Microsoft Windows 7 Professional;2048;2133;
NA;2022-10-26 13:24:22;CT01-004456;camila.cousseau;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:24:20;CT01-004094;alana.dariva;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:24:04;CT01-004039;promed.giulia;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:24:01;CT01-001269;guilherme.mesquita;Microsoft Windows 7 Professional;2941;2936;
NA;2022-10-26 13:23:17;CT01-000324;jamile.quintana;Microsoft Windows 7 Professional;6562;2501;
NA;2022-10-26 13:22:48;CT01-003549;rita.arend;Microsoft Windows 10 Pro;8192;3408;
;2022-10-26 13:22:47;PMC104982;patricia.thomajeski;Microsoft Windows 7 Professional;1502;3200;
NA;2022-10-26 13:22:33;CT01-000984;ketlyn.pereira;Microsoft Windows 8.1 Pro;3550;3200;
NA;2022-10-26 13:22:25;PAT-129457;emerson.alves;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:22:15;CT01-004708;ismael.souza;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:21:26;CT01-001203;adriana.bandeira;Microsoft Windows 7 Professional;3550;3200;
;2022-10-26 13:21:02;PMC10067;maria.forster;Microsoft Windows 7 Professional;3550;3200;
NA;2022-10-26 13:20:38;CT01-003796;josiane.rosa;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:20:36;CT01-000295;darlene.dorneles;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 13:20:14;CT01-000996;milena.castro;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 13:20:09;CT01-003638;andressa.pare;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:19:18;CT01-000378;edimilson.tresoldi;Microsoft Windows 7 Professional;3500;3400;
NA;2022-10-26 13:18:23;CT01-002322;valter.souza;Microsoft Windows 8.1 Pro;3503;3400;
NA;2022-10-26 13:17:43;CT01-003587;elise.soares;Microsoft Windows 10 Pro;8192;3408;
NA;2022-10-26 13:17:41;CT01-004585;juliano.delazzeri;Microsoft Windows 10 Pro;8192;3600;
;2022-10-26 13:17:11;PMCSMPG75529;jefferson.romero;Microsoft Windows 7 Professional;4096;2901;
NA;2022-10-26 13:16:59;CT01-003395;alexandre.baumgarten;Microsoft Windows 10 Pro;8192;3408;
;2022-10-26 13:16:42;CT01-000989;patricia.fsilva;Microsoft Windows 7 Professional;8192;3601;
NA;2022-10-26 13:16:41;CT01-004008;felipe.borges;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:16:19;CT01-004569;paulo.facio;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:15:25;CT01-004648;cristiane.boite;Microsoft Windows 11 Pro;8192;2904;
;2022-10-26 13:14:59;DESKTOP-BO4IQ1A;luciana.zappas;Microsoft Windows 10 Pro;8192;3600;
NA;2022-10-26 13:14:51;PAT-125577;yasmim.oliveira;Microsoft Windows 10 Pro;4096;3300;
NA;2022-10-26 13:14:48;CT01-004051;justiz.yara;Microsoft Windows 11 Pro;8192;3600;
NA;2022-10-26 13:14:36;CT01-004773;carolina.tedesco;Microsoft Windows 10 Pro;8192;2904;
NA;2022-10-26 13:14:25;CT01-003926;alessandra.cesar;Microsoft Windows 11 Pro;8192;3600;
NA;2022-10-26 13:14:23;CT01-000368;maria.scastro;Microsoft Windows 7 Professional;4096;2936;
NA;2022-10-26 13:13:59;CT01-004779;luana.vieira;Microsoft Windows 10 Pro;8192;2904;
